ip,subnet_24,zone_label,service_type,service_confidence,ports,protocols,community,degree,in_degree,out_degree,anomaly_score,anomaly_level,is_anomaly
10.26.3.163,10.26.3,"10.26.3|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.1.38,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.3.153,10.16.3,"10.16.3|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.4.160,10.16.4,"10.16.4|Web|443,1514,36000",Web,0.33,443|1514|36000,,207,2,5570,11,0.0611,Low,False
10.16.4.23,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.2.151,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.4.36,10.16.4,"10.16.4|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.2.155,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.3.160,10.16.3,"10.16.3|Web|443,1514,36000",Web,0.33,443|1514|36000,,71,2,5241,6,0.0611,Low,False
10.26.1.49,10.26.1,"10.26.1|Web|443,1514,36000",Web,0.33,443|1514|36000,,112,2,5568,11,0.0611,Low,False
10.16.4.33,10.16.4,"10.16.4|Web|443,1514,36000",Web,0.33,443|1514|36000,,250,2,5584,11,0.0611,Low,False
10.26.2.43,10.26.2,"10.26.2|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.2.45,10.26.2,"10.26.2|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.0.45,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.26.0.46,10.26.0,"10.26.0|Web|443,36000",Web,0.5,443|36000,,266,2,0,6,0.0611,Low,False
10.16.3.140,10.16.3,10.16.3|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.0.45,10.16.0,"10.16.0|Logging|1514,36000",Logging,0.5,1514|36000,,54,1,1,5,0.0625,Low,False
10.16.3.6,10.16.3,10.16.3|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.26.1.39,10.26.1,10.26.1|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.26.0.34,10.26.0,"10.26.0|Logging|1514,36000",Logging,0.5,1514|36000,,54,1,1,5,0.0625,Low,False
10.16.2.143,10.16.2,10.16.2|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.16.1.174,10.16.1,10.16.1|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
10.26.0.35,10.26.0,10.26.0|Agent|36000,Agent,1.0,36000,,13,1,0,5,0.0625,Low,False
